Destination,Type,Budget (INR),Duration (days),Rating,Climate,Popularity,Best Season,Latitude,Longitude,Best Food to Try,Best Mode of Transportation
Ranthambore,Wildlife,21036,3,4.5,Hot,Medium,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Ranthambore,Wildlife,19355,3,4.6,Hot,High,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Ranthambore,Wildlife,22328,3,4.5,Hot,High,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Udaipur,Historical,12728,2,4.4,Hot,Low,September-March,24.5854,73.7125,Unknown,Unknown
Hampi,Heritage,14693,2,4.3,Hot & Dry,Low,October-February,15.335,76.462,"Kharabath, Dosa","Train, Bus, Car"
Kaziranga,Wildlife,16594,4,4.2,Humid,Medium,November-April,26.5775,93.1711,Unknown,Unknown
Manali,Hill Station,14539,6,4.5,Cold,High,March-June,32.2396,77.1887,Unknown,Unknown
Goa,Beach,20340,4,4.1,Tropical,Medium,November-February,15.2993,74.124,Unknown,Unknown
Goa,Beach,20178,4,4.3,Tropical,High,November-February,15.2993,74.124,Unknown,Unknown
Manali,Hill Station,16784,6,4.5,Cold,Medium,March-June,32.2396,77.1887,Unknown,Unknown
Shimla,Hill Station,17398,3,4.8,Cold,Low,March-June,31.1048,77.1734,Unknown,Unknown
Ranthambore,Wildlife,20096,2,4.8,Hot,High,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Kaziranga,Wildlife,16845,4,4.7,Humid,Low,November-April,26.5775,93.1711,Unknown,Unknown
Udaipur,Historical,12324,3,4.6,Hot,High,September-March,24.5854,73.7125,Unknown,Unknown
Jaipur,Historical,12426,3,4.2,Arid,High,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Ladakh,Adventure,31219,7,4.7,Cold,Low,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Jaipur,Historical,11216,4,4.6,Arid,High,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Goa,Beach,22800,5,4.7,Tropical,Medium,November-February,15.2993,74.124,Unknown,Unknown
Shimla,Hill Station,14858,4,4.5,Cold,Low,March-June,31.1048,77.1734,Unknown,Unknown
Ranthambore,Wildlife,19758,4,4.1,Hot,High,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Ranthambore,Wildlife,22205,4,4.2,Hot,Medium,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Kaziranga,Wildlife,19673,3,4.2,Humid,Medium,November-April,26.5775,93.1711,Unknown,Unknown
Rishikesh,Adventure,11061,4,4.5,Moderate,Low,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Ladakh,Adventure,30604,6,4.5,Cold,Medium,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Udaipur,Historical,14568,4,4.0,Hot,Medium,September-March,24.5854,73.7125,Unknown,Unknown
Andaman,Beach,23864,4,4.6,Tropical,High,November-May,11.7401,92.6586,Unknown,Unknown
Hampi,Heritage,14450,4,4.5,Hot & Dry,Medium,October-February,15.335,76.462,"Kharabath, Dosa","Train, Bus, Car"
Manali,Hill Station,15152,6,4.2,Cold,Low,March-June,32.2396,77.1887,Unknown,Unknown
Manali,Hill Station,16907,5,4.2,Cold,Medium,March-June,32.2396,77.1887,Unknown,Unknown
Mysore,Cultural,9427,3,4.2,Moderate,Low,October-February,12.2958,76.6394,Unknown,Unknown
Mysore,Cultural,9520,3,4.2,Moderate,Medium,October-February,12.2958,76.6394,Unknown,Unknown
Munnar,Hill Station,14386,3,4.2,Cool,Low,October-May,10.0889,77.0595,Unknown,Unknown
Jaipur,Historical,10622,2,4.3,Arid,High,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Udaipur,Historical,15248,4,4.1,Hot,High,September-March,24.5854,73.7125,Unknown,Unknown
Udaipur,Historical,14168,2,4.5,Hot,Low,September-March,24.5854,73.7125,Unknown,Unknown
Munnar,Hill Station,17798,4,4.5,Cool,High,October-May,10.0889,77.0595,Unknown,Unknown
Rishikesh,Adventure,10659,5,4.5,Moderate,High,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Hampi,Heritage,12927,2,4.1,Hot & Dry,Low,October-February,15.335,76.462,"Kharabath, Dosa","Train, Bus, Car"
Andaman,Beach,23065,5,4.5,Tropical,High,November-May,11.7401,92.6586,Unknown,Unknown
Goa,Beach,22152,4,4.8,Tropical,High,November-February,15.2993,74.124,Unknown,Unknown
Ladakh,Adventure,29797,5,4.6,Cold,Low,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Andaman,Beach,23886,4,4.4,Tropical,Medium,November-May,11.7401,92.6586,Unknown,Unknown
Ooty,Hill Station,13038,2,4.8,Cool,Medium,October-June,11.4064,76.6932,Unknown,Unknown
Jaipur,Historical,11665,4,4.2,Arid,High,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Darjeeling,Hill Station,17117,4,4.2,Cool,Low,March-May,27.036,88.2627,Unknown,Unknown
Jaipur,Historical,11476,4,4.4,Arid,High,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Manali,Hill Station,13481,6,4.6,Cold,High,March-June,32.2396,77.1887,Unknown,Unknown
Mysore,Cultural,10558,2,4.0,Moderate,Medium,October-February,12.2958,76.6394,Unknown,Unknown
Ooty,Hill Station,15679,4,4.7,Cool,Low,October-June,11.4064,76.6932,Unknown,Unknown
Ranthambore,Wildlife,20323,3,4.6,Hot,Low,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Kaziranga,Wildlife,19650,5,4.6,Humid,Medium,November-April,26.5775,93.1711,Unknown,Unknown
Udaipur,Historical,13824,2,4.2,Hot,Low,September-March,24.5854,73.7125,Unknown,Unknown
Ooty,Hill Station,13894,2,4.2,Cool,Medium,October-June,11.4064,76.6932,Unknown,Unknown
Manali,Hill Station,17914,4,4.7,Cold,High,March-June,32.2396,77.1887,Unknown,Unknown
Jaipur,Historical,14073,3,4.7,Arid,High,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Ranthambore,Wildlife,18683,3,4.5,Hot,High,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Udaipur,Historical,12985,2,4.0,Hot,Medium,September-March,24.5854,73.7125,Unknown,Unknown
Mysore,Cultural,9117,3,4.4,Moderate,Medium,October-February,12.2958,76.6394,Unknown,Unknown
Rishikesh,Adventure,10932,3,4.6,Moderate,High,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Mysore,Cultural,9212,3,4.1,Moderate,High,October-February,12.2958,76.6394,Unknown,Unknown
Shimla,Hill Station,18060,3,4.4,Cold,Medium,March-June,31.1048,77.1734,Unknown,Unknown
Jaipur,Historical,13656,4,4.9,Arid,High,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Manali,Hill Station,17083,6,4.9,Cold,Medium,March-June,32.2396,77.1887,Unknown,Unknown
Kaziranga,Wildlife,19893,4,4.7,Humid,High,November-April,26.5775,93.1711,Unknown,Unknown
Andaman,Beach,26955,6,4.1,Tropical,Low,November-May,11.7401,92.6586,Unknown,Unknown
Rishikesh,Adventure,13233,5,4.7,Moderate,High,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Rishikesh,Adventure,11271,3,4.2,Moderate,Low,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Munnar,Hill Station,17690,3,4.0,Cool,Low,October-May,10.0889,77.0595,Unknown,Unknown
Jaipur,Historical,11835,4,4.6,Arid,Medium,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Rishikesh,Adventure,14086,4,4.3,Moderate,High,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Rishikesh,Adventure,14632,4,4.3,Moderate,Medium,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Ladakh,Adventure,28978,6,4.7,Cold,High,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Darjeeling,Hill Station,19791,4,4.1,Cool,High,March-May,27.036,88.2627,Unknown,Unknown
Rishikesh,Adventure,13827,3,4.3,Moderate,High,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Ladakh,Adventure,28002,7,4.6,Cold,Medium,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Mysore,Cultural,8313,2,4.3,Moderate,Low,October-February,12.2958,76.6394,Unknown,Unknown
Rishikesh,Adventure,11071,5,4.3,Moderate,Low,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Rishikesh,Adventure,12130,3,4.7,Moderate,Low,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Kaziranga,Wildlife,18711,4,4.7,Humid,Medium,November-April,26.5775,93.1711,Unknown,Unknown
Ranthambore,Wildlife,21766,2,4.3,Hot,High,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Goa,Beach,18510,3,4.9,Tropical,High,November-February,15.2993,74.124,Unknown,Unknown
Shimla,Hill Station,14666,5,4.3,Cold,High,March-June,31.1048,77.1734,Unknown,Unknown
Ladakh,Adventure,29382,7,4.2,Cold,Low,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Darjeeling,Hill Station,18064,4,4.8,Cool,Low,March-May,27.036,88.2627,Unknown,Unknown
Jaipur,Historical,14910,3,4.6,Arid,Medium,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Rishikesh,Adventure,10040,5,4.5,Moderate,Medium,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Rishikesh,Adventure,11584,3,4.6,Moderate,High,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Mysore,Cultural,9060,2,4.1,Moderate,Medium,October-February,12.2958,76.6394,Unknown,Unknown
Ooty,Hill Station,12792,3,4.7,Cool,High,October-June,11.4064,76.6932,Unknown,Unknown
Goa,Beach,21484,4,4.7,Tropical,High,November-February,15.2993,74.124,Unknown,Unknown
Hampi,Heritage,12841,4,4.6,Hot & Dry,Low,October-February,15.335,76.462,"Kharabath, Dosa","Train, Bus, Car"
Ranthambore,Wildlife,22950,3,4.5,Hot,Medium,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Mysore,Cultural,11577,3,4.4,Moderate,Low,October-February,12.2958,76.6394,Unknown,Unknown
Ladakh,Adventure,31002,6,4.6,Cold,Medium,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Ranthambore,Wildlife,22944,4,4.5,Hot,Low,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Darjeeling,Hill Station,18028,3,4.6,Cool,Medium,March-May,27.036,88.2627,Unknown,Unknown
Ladakh,Adventure,31334,6,4.9,Cold,Low,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Andaman,Beach,27760,5,4.1,Tropical,High,November-May,11.7401,92.6586,Unknown,Unknown
Andaman,Beach,24134,4,4.1,Tropical,High,November-May,11.7401,92.6586,Unknown,Unknown
Rishikesh,Adventure,13556,4,4.1,Moderate,High,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Rishikesh,Adventure,12002,4,4.7,Moderate,Medium,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Darjeeling,Hill Station,15860,5,4.1,Cool,Medium,March-May,27.036,88.2627,Unknown,Unknown
Ladakh,Adventure,30112,7,4.7,Cold,Low,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Mysore,Cultural,10416,2,4.6,Moderate,Low,October-February,12.2958,76.6394,Unknown,Unknown
Munnar,Hill Station,14691,2,4.2,Cool,Low,October-May,10.0889,77.0595,Unknown,Unknown
Ooty,Hill Station,16000,2,4.2,Cool,Low,October-June,11.4064,76.6932,Unknown,Unknown
Jaipur,Historical,11176,3,4.4,Arid,Medium,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Darjeeling,Hill Station,19122,3,4.7,Cool,Medium,March-May,27.036,88.2627,Unknown,Unknown
Rishikesh,Adventure,10403,4,4.8,Moderate,Medium,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Hampi,Heritage,12501,4,4.2,Hot & Dry,Low,October-February,15.335,76.462,"Kharabath, Dosa","Train, Bus, Car"
Manali,Hill Station,17106,6,4.1,Cold,Low,March-June,32.2396,77.1887,Unknown,Unknown
Rishikesh,Adventure,14595,3,4.6,Moderate,High,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Shimla,Hill Station,15708,3,4.8,Cold,High,March-June,31.1048,77.1734,Unknown,Unknown
Darjeeling,Hill Station,18312,5,4.0,Cool,High,March-May,27.036,88.2627,Unknown,Unknown
Jaipur,Historical,12719,4,4.4,Arid,Low,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Shimla,Hill Station,15135,3,4.8,Cold,Medium,March-June,31.1048,77.1734,Unknown,Unknown
Darjeeling,Hill Station,18737,4,4.7,Cool,Low,March-May,27.036,88.2627,Unknown,Unknown
Goa,Beach,19738,4,4.0,Tropical,Low,November-February,15.2993,74.124,Unknown,Unknown
Ladakh,Adventure,29967,7,4.4,Cold,Medium,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Hampi,Heritage,13758,4,4.4,Hot & Dry,Medium,October-February,15.335,76.462,"Kharabath, Dosa","Train, Bus, Car"
Shimla,Hill Station,14729,3,4.7,Cold,Medium,March-June,31.1048,77.1734,Unknown,Unknown
Goa,Beach,20203,5,4.6,Tropical,Low,November-February,15.2993,74.124,Unknown,Unknown
Mysore,Cultural,9849,3,4.2,Moderate,Medium,October-February,12.2958,76.6394,Unknown,Unknown
Udaipur,Historical,12460,2,4.8,Hot,Medium,September-March,24.5854,73.7125,Unknown,Unknown
Ranthambore,Wildlife,18143,2,4.2,Hot,Low,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Ladakh,Adventure,29843,5,4.9,Cold,High,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Ranthambore,Wildlife,20829,2,4.4,Hot,Low,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Ladakh,Adventure,30014,6,4.5,Cold,Low,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Jaipur,Historical,13824,2,4.2,Arid,High,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Manali,Hill Station,14558,6,4.8,Cold,High,March-June,32.2396,77.1887,Unknown,Unknown
Ooty,Hill Station,14510,3,4.1,Cool,High,October-June,11.4064,76.6932,Unknown,Unknown
Mysore,Cultural,9915,3,4.8,Moderate,Medium,October-February,12.2958,76.6394,Unknown,Unknown
Ooty,Hill Station,13021,4,4.5,Cool,Medium,October-June,11.4064,76.6932,Unknown,Unknown
Darjeeling,Hill Station,17032,4,4.4,Cool,High,March-May,27.036,88.2627,Unknown,Unknown
Andaman,Beach,27591,4,4.7,Tropical,High,November-May,11.7401,92.6586,Unknown,Unknown
Manali,Hill Station,13442,5,4.5,Cold,High,March-June,32.2396,77.1887,Unknown,Unknown
Jaipur,Historical,14239,3,4.2,Arid,Low,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Kaziranga,Wildlife,18012,3,4.5,Humid,High,November-April,26.5775,93.1711,Unknown,Unknown
Ooty,Hill Station,16302,3,4.5,Cool,Low,October-June,11.4064,76.6932,Unknown,Unknown
Goa,Beach,18012,3,4.4,Tropical,Medium,November-February,15.2993,74.124,Unknown,Unknown
Manali,Hill Station,17918,6,4.7,Cold,High,March-June,32.2396,77.1887,Unknown,Unknown
Jaipur,Historical,13835,2,4.4,Arid,Medium,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Ladakh,Adventure,30041,5,4.7,Cold,Medium,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Ranthambore,Wildlife,19500,2,4.5,Hot,High,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Ranthambore,Wildlife,21975,2,4.1,Hot,High,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Shimla,Hill Station,15156,4,4.2,Cold,High,March-June,31.1048,77.1734,Unknown,Unknown
Ooty,Hill Station,12547,4,4.3,Cool,High,October-June,11.4064,76.6932,Unknown,Unknown
Munnar,Hill Station,15869,4,4.6,Cool,Low,October-May,10.0889,77.0595,Unknown,Unknown
Mysore,Cultural,11727,3,4.3,Moderate,Medium,October-February,12.2958,76.6394,Unknown,Unknown
Ladakh,Adventure,32318,6,4.1,Cold,Medium,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Ranthambore,Wildlife,18016,3,4.7,Hot,Low,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Ladakh,Adventure,30668,7,4.4,Cold,High,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Hampi,Heritage,14291,2,4.9,Hot & Dry,Medium,October-February,15.335,76.462,"Kharabath, Dosa","Train, Bus, Car"
Goa,Beach,18885,5,4.6,Tropical,Medium,November-February,15.2993,74.124,Unknown,Unknown
Rishikesh,Adventure,12765,4,4.4,Moderate,High,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Ooty,Hill Station,13314,4,4.6,Cool,Medium,October-June,11.4064,76.6932,Unknown,Unknown
Hampi,Heritage,13412,3,4.9,Hot & Dry,Medium,October-February,15.335,76.462,"Kharabath, Dosa","Train, Bus, Car"
Ooty,Hill Station,12030,4,4.8,Cool,Low,October-June,11.4064,76.6932,Unknown,Unknown
Rishikesh,Adventure,14817,4,4.8,Moderate,Medium,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Ooty,Hill Station,12373,2,4.8,Cool,Low,October-June,11.4064,76.6932,Unknown,Unknown
Udaipur,Historical,12889,2,4.7,Hot,Medium,September-March,24.5854,73.7125,Unknown,Unknown
Goa,Beach,20621,5,4.8,Tropical,High,November-February,15.2993,74.124,Unknown,Unknown
Udaipur,Historical,12127,2,4.9,Hot,Medium,September-March,24.5854,73.7125,Unknown,Unknown
Ranthambore,Wildlife,20387,2,4.2,Hot,Medium,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Udaipur,Historical,14039,4,4.2,Hot,Medium,September-March,24.5854,73.7125,Unknown,Unknown
Hampi,Heritage,13852,4,4.2,Hot & Dry,Low,October-February,15.335,76.462,"Kharabath, Dosa","Train, Bus, Car"
Ladakh,Adventure,32911,5,4.4,Cold,Low,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Munnar,Hill Station,14481,2,4.6,Cool,Low,October-May,10.0889,77.0595,Unknown,Unknown
Munnar,Hill Station,17886,3,4.3,Cool,Medium,October-May,10.0889,77.0595,Unknown,Unknown
Munnar,Hill Station,16305,3,4.5,Cool,High,October-May,10.0889,77.0595,Unknown,Unknown
Jaipur,Historical,13563,3,4.3,Arid,Medium,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Ladakh,Adventure,32379,6,4.6,Cold,Low,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Udaipur,Historical,15117,2,4.7,Hot,Low,September-March,24.5854,73.7125,Unknown,Unknown
Rishikesh,Adventure,11712,4,4.7,Moderate,Medium,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Hampi,Heritage,14297,2,4.7,Hot & Dry,Medium,October-February,15.335,76.462,"Kharabath, Dosa","Train, Bus, Car"
Goa,Beach,18704,3,4.8,Tropical,Low,November-February,15.2993,74.124,Unknown,Unknown
Hampi,Heritage,12109,3,4.6,Hot & Dry,High,October-February,15.335,76.462,"Kharabath, Dosa","Train, Bus, Car"
Manali,Hill Station,16072,4,4.3,Cold,Low,March-June,32.2396,77.1887,Unknown,Unknown
Goa,Beach,20318,3,4.8,Tropical,High,November-February,15.2993,74.124,Unknown,Unknown
Rishikesh,Adventure,11900,5,4.7,Moderate,High,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Udaipur,Historical,13688,2,4.3,Hot,Low,September-March,24.5854,73.7125,Unknown,Unknown
Darjeeling,Hill Station,15343,5,4.0,Cool,Medium,March-May,27.036,88.2627,Unknown,Unknown
Jaipur,Historical,14299,3,4.4,Arid,Low,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Ranthambore,Wildlife,20781,2,4.9,Hot,High,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Kaziranga,Wildlife,16019,5,4.7,Humid,High,November-April,26.5775,93.1711,Unknown,Unknown
Munnar,Hill Station,14988,2,4.1,Cool,High,October-May,10.0889,77.0595,Unknown,Unknown
Manali,Hill Station,15695,4,4.3,Cold,Medium,March-June,32.2396,77.1887,Unknown,Unknown
Darjeeling,Hill Station,17651,5,4.4,Cool,High,March-May,27.036,88.2627,Unknown,Unknown
Jaipur,Historical,14908,2,4.7,Arid,Low,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Andaman,Beach,25429,4,4.5,Tropical,High,November-May,11.7401,92.6586,Unknown,Unknown
Ooty,Hill Station,14226,4,4.7,Cool,Low,October-June,11.4064,76.6932,Unknown,Unknown
Ooty,Hill Station,14244,2,4.1,Cool,Low,October-June,11.4064,76.6932,Unknown,Unknown
Shimla,Hill Station,18446,4,4.8,Cold,Low,March-June,31.1048,77.1734,Unknown,Unknown
Mysore,Cultural,12855,2,4.6,Moderate,Low,October-February,12.2958,76.6394,Unknown,Unknown
Udaipur,Historical,16427,4,4.5,Hot,Low,September-March,24.5854,73.7125,Unknown,Unknown
Kaziranga,Wildlife,17110,4,4.3,Humid,Medium,November-April,26.5775,93.1711,Unknown,Unknown
Mysore,Cultural,8960,2,4.1,Moderate,Medium,October-February,12.2958,76.6394,Unknown,Unknown
Jaipur,Historical,11383,3,4.5,Arid,High,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Darjeeling,Hill Station,19273,3,4.0,Cool,Medium,March-May,27.036,88.2627,Unknown,Unknown
Andaman,Beach,27191,6,4.3,Tropical,High,November-May,11.7401,92.6586,Unknown,Unknown
Hampi,Heritage,14449,3,4.0,Hot & Dry,Medium,October-February,15.335,76.462,"Kharabath, Dosa","Train, Bus, Car"
Manali,Hill Station,15657,6,4.4,Cold,Medium,March-June,32.2396,77.1887,Unknown,Unknown
Jaipur,Historical,10039,4,4.5,Arid,High,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Kaziranga,Wildlife,20594,5,4.8,Humid,Medium,November-April,26.5775,93.1711,Unknown,Unknown
Hampi,Heritage,11379,4,4.1,Hot & Dry,Medium,October-February,15.335,76.462,"Kharabath, Dosa","Train, Bus, Car"
Jaipur,Historical,11619,2,4.6,Arid,High,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Rishikesh,Adventure,13033,5,4.7,Moderate,Medium,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Rishikesh,Adventure,14492,4,4.3,Moderate,Medium,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Goa,Beach,18399,4,4.4,Tropical,Medium,November-February,15.2993,74.124,Unknown,Unknown
Darjeeling,Hill Station,15759,4,4.1,Cool,Medium,March-May,27.036,88.2627,Unknown,Unknown
Shimla,Hill Station,14261,3,4.2,Cold,Low,March-June,31.1048,77.1734,Unknown,Unknown
Rishikesh,Adventure,11613,3,4.2,Moderate,Medium,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Munnar,Hill Station,14995,2,4.6,Cool,High,October-May,10.0889,77.0595,Unknown,Unknown
Mysore,Cultural,8473,2,4.2,Moderate,Low,October-February,12.2958,76.6394,Unknown,Unknown
Udaipur,Historical,15201,3,4.3,Hot,High,September-March,24.5854,73.7125,Unknown,Unknown
Jaipur,Historical,14962,2,4.0,Arid,Low,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Darjeeling,Hill Station,18939,3,4.3,Cool,Medium,March-May,27.036,88.2627,Unknown,Unknown
Jaipur,Historical,14294,2,4.0,Arid,Low,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Darjeeling,Hill Station,19673,3,4.3,Cool,High,March-May,27.036,88.2627,Unknown,Unknown
Udaipur,Historical,15336,2,4.5,Hot,Medium,September-March,24.5854,73.7125,Unknown,Unknown
Ranthambore,Wildlife,20029,2,4.3,Hot,High,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Ranthambore,Wildlife,20915,2,4.6,Hot,Low,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Goa,Beach,20346,4,4.5,Tropical,Medium,November-February,15.2993,74.124,Unknown,Unknown
Darjeeling,Hill Station,19767,4,4.6,Cool,Medium,March-May,27.036,88.2627,Unknown,Unknown
Munnar,Hill Station,17215,2,4.1,Cool,Low,October-May,10.0889,77.0595,Unknown,Unknown
Rishikesh,Adventure,12215,3,4.3,Moderate,Low,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Mysore,Cultural,8151,3,4.2,Moderate,Low,October-February,12.2958,76.6394,Unknown,Unknown
Manali,Hill Station,14438,5,4.5,Cold,Medium,March-June,32.2396,77.1887,Unknown,Unknown
Munnar,Hill Station,14102,4,4.3,Cool,Medium,October-May,10.0889,77.0595,Unknown,Unknown
Shimla,Hill Station,18818,5,4.3,Cold,Low,March-June,31.1048,77.1734,Unknown,Unknown
Darjeeling,Hill Station,19118,5,4.3,Cool,High,March-May,27.036,88.2627,Unknown,Unknown
Darjeeling,Hill Station,19087,4,4.5,Cool,Medium,March-May,27.036,88.2627,Unknown,Unknown
Kaziranga,Wildlife,20084,5,4.8,Humid,Low,November-April,26.5775,93.1711,Unknown,Unknown
Manali,Hill Station,14569,6,4.1,Cold,Low,March-June,32.2396,77.1887,Unknown,Unknown
Shimla,Hill Station,14342,5,4.8,Cold,Low,March-June,31.1048,77.1734,Unknown,Unknown
Ooty,Hill Station,13710,4,4.4,Cool,Low,October-June,11.4064,76.6932,Unknown,Unknown
Ladakh,Adventure,31990,7,4.2,Cold,Medium,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Rishikesh,Adventure,12006,4,4.2,Moderate,High,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Goa,Beach,19603,4,4.5,Tropical,High,November-February,15.2993,74.124,Unknown,Unknown
Ooty,Hill Station,14547,4,4.8,Cool,High,October-June,11.4064,76.6932,Unknown,Unknown
Munnar,Hill Station,17284,4,4.4,Cool,High,October-May,10.0889,77.0595,Unknown,Unknown
Andaman,Beach,25708,4,4.0,Tropical,Low,November-May,11.7401,92.6586,Unknown,Unknown
Rishikesh,Adventure,11076,4,4.3,Moderate,Low,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Munnar,Hill Station,16425,2,4.4,Cool,Medium,October-May,10.0889,77.0595,Unknown,Unknown
Jaipur,Historical,14504,2,4.3,Arid,Low,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Shimla,Hill Station,15350,4,4.6,Cold,Low,March-June,31.1048,77.1734,Unknown,Unknown
Ooty,Hill Station,16273,3,4.0,Cool,High,October-June,11.4064,76.6932,Unknown,Unknown
Kaziranga,Wildlife,19677,5,4.1,Humid,Medium,November-April,26.5775,93.1711,Unknown,Unknown
Kaziranga,Wildlife,16089,5,4.3,Humid,Medium,November-April,26.5775,93.1711,Unknown,Unknown
